tanggal,provinsi,kabupaten,kecamatan,fasyankes,penyakit,kode_penyakit,minggu,tahun,tahun_minggu,tahun_minggu_f,age_group,kelamin,kasus
2022-03-13,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,10.0,2022.0,2022 - 10,2022.1,J. 55 - 69 year old,Female,9
2022-03-13,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,10.0,2022.0,2022 - 10,2022.1,K. > 70 year old,Female,1
2022-03-14,BALI,KAB. BULELENG,BANJAR,BANJAR I,Gigitan Hewan Penular Rabies,P,11.0,2022.0,2022 - 11,2022.11,,,1
2022-03-14,BALI,KAB. BULELENG,BANJAR,BANJAR I,ILI (Penyakit Serupa Influenza),Y,11.0,2022.0,2022 - 11,2022.11,,,1
2022-03-14,BALI,KAB. BULELENG,BANJAR,BANJAR I,None,None,11.0,2022.0,2022 - 11,2022.11,,,92
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,ILI (Penyakit Serupa Influenza),Y,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Female,1
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,Suspek Dengue,C,11.0,2022.0,2022 - 11,2022.11,D. 1 - 4 year old,Male,1
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,B. 8 - 28 day old,Female,1
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,C. 28 day old - 1 year old,Male,3
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,C. 28 day old - 1 year old,Female,1
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,D. 1 - 4 year old,Male,1
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,D. 1 - 4 year old,Female,2
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,E. 5 - 9 year old,Male,8
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,E. 5 - 9 year old,Female,2
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,F. 10 - 14 year old,Male,5
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,F. 10 - 14 year old,Female,2
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,G. 15 - 19 year old,Male,12
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,G. 15 - 19 year old,Female,5
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Male,44
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Female,55
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Male,33
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Female,38
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Male,71
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Female,67
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Male,36
2022-03-14,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Female,20
2022-03-14,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,11.0,2022.0,2022 - 11,2022.11,,Female,1
2022-03-14,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,E. 5 - 9 year old,Female,1
2022-03-14,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,F. 10 - 14 year old,Female,1
2022-03-14,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Female,1
2022-03-14,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Female,2
2022-03-14,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Male,7
2022-03-14,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Female,10
2022-03-14,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Male,1
2022-03-14,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Female,1
2022-03-15,BALI,KAB. BULELENG,BANJAR,BANJAR I,Gigitan Hewan Penular Rabies,P,11.0,2022.0,2022 - 11,2022.11,,,3
2022-03-15,BALI,KAB. BULELENG,BANJAR,BANJAR I,ILI (Penyakit Serupa Influenza),Y,11.0,2022.0,2022 - 11,2022.11,,,6
2022-03-15,BALI,KAB. BULELENG,BANJAR,BANJAR I,None,None,11.0,2022.0,2022 - 11,2022.11,,,50
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,ILI (Penyakit Serupa Influenza),Y,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Female,1
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,Pnemonia,D,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Male,1
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,A. 0 - 7 day old,Female,1
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,D. 1 - 4 year old,Male,1
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,E. 5 - 9 year old,Male,3
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,E. 5 - 9 year old,Female,1
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,F. 10 - 14 year old,Male,3
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,F. 10 - 14 year old,Female,1
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,G. 15 - 19 year old,Male,3
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,G. 15 - 19 year old,Female,8
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Male,28
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Female,41
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Male,19
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Female,39
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Male,63
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Female,63
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Male,21
2022-03-15,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Female,17
2022-03-15,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Diare Akut,A,11.0,2022.0,2022 - 11,2022.11,,Male,1
2022-03-15,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Diare Akut,A,11.0,2022.0,2022 - 11,2022.11,,,1
2022-03-15,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Pnemonia,D,11.0,2022.0,2022 - 11,2022.11,,,3
2022-03-15,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Suspek Dengue,C,11.0,2022.0,2022 - 11,2022.11,,,1
2022-03-15,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,11.0,2022.0,2022 - 11,2022.11,,Male,11
2022-03-15,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,11.0,2022.0,2022 - 11,2022.11,,Female,19
2022-03-15,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,11.0,2022.0,2022 - 11,2022.11,,,26
2022-03-15,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,B. 8 - 28 day old,Female,1
2022-03-15,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,C. 28 day old - 1 year old,Male,1
2022-03-15,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,E. 5 - 9 year old,Female,2
2022-03-15,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Male,4
2022-03-15,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Female,2
2022-03-15,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Male,1
2022-03-15,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Male,5
2022-03-15,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Female,9
2022-03-15,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Male,1
2022-03-15,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Female,1
2022-03-16,BALI,KAB. BULELENG,BANJAR,BANJAR I,Gigitan Hewan Penular Rabies,P,11.0,2022.0,2022 - 11,2022.11,,,4
2022-03-16,BALI,KAB. BULELENG,BANJAR,BANJAR I,None,None,11.0,2022.0,2022 - 11,2022.11,,,32
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,B. 8 - 28 day old,Male,1
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,C. 28 day old - 1 year old,Male,2
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,C. 28 day old - 1 year old,Female,1
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,D. 1 - 4 year old,Male,3
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,D. 1 - 4 year old,Female,2
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,E. 5 - 9 year old,Male,4
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,E. 5 - 9 year old,Female,4
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,F. 10 - 14 year old,Male,4
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,F. 10 - 14 year old,Female,1
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,G. 15 - 19 year old,Male,3
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,G. 15 - 19 year old,Female,2
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Male,17
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Female,32
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Male,20
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Female,19
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Male,58
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Female,46
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Male,26
2022-03-16,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Female,18
2022-03-16,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Diare Akut,A,11.0,2022.0,2022 - 11,2022.11,,Male,1
2022-03-16,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Diare Akut,A,11.0,2022.0,2022 - 11,2022.11,,,1
2022-03-16,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Suspek Dengue,C,11.0,2022.0,2022 - 11,2022.11,,Female,1
2022-03-16,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,11.0,2022.0,2022 - 11,2022.11,,Male,16
2022-03-16,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,11.0,2022.0,2022 - 11,2022.11,,Female,17
2022-03-16,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,11.0,2022.0,2022 - 11,2022.11,,,32
2022-03-16,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Female,1
2022-03-16,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Male,4
2022-03-16,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Female,1
2022-03-16,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Male,1
2022-03-16,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Female,6
2022-03-16,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Male,3
2022-03-16,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Female,1
2022-03-17,BALI,KAB. BULELENG,BANJAR,BANJAR I,Diare Akut,A,11.0,2022.0,2022 - 11,2022.11,,,1
2022-03-17,BALI,KAB. BULELENG,BANJAR,BANJAR I,Gigitan Hewan Penular Rabies,P,11.0,2022.0,2022 - 11,2022.11,,,3
2022-03-17,BALI,KAB. BULELENG,BANJAR,BANJAR I,None,None,11.0,2022.0,2022 - 11,2022.11,,,32
2022-03-17,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,C. 28 day old - 1 year old,Male,1
2022-03-17,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,D. 1 - 4 year old,Male,3
2022-03-17,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,E. 5 - 9 year old,Male,1
2022-03-17,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,F. 10 - 14 year old,Male,1
2022-03-17,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,F. 10 - 14 year old,Female,1
2022-03-17,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,G. 15 - 19 year old,Male,3
2022-03-17,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,G. 15 - 19 year old,Female,3
2022-03-17,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Male,20
2022-03-17,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Female,42
2022-03-17,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Male,18
2022-03-17,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Female,24
2022-03-17,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Male,32
2022-03-17,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Female,44
2022-03-17,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Male,24
2022-03-17,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Female,12
2022-03-17,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Diare Akut,A,11.0,2022.0,2022 - 11,2022.11,,,1
2022-03-17,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Pnemonia,D,11.0,2022.0,2022 - 11,2022.11,,,1
2022-03-17,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Sindrom Jaundice Akut,G,11.0,2022.0,2022 - 11,2022.11,,Male,1
2022-03-17,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Suspek Dengue,C,11.0,2022.0,2022 - 11,2022.11,,Male,1
2022-03-17,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Suspek Dengue,C,11.0,2022.0,2022 - 11,2022.11,,Female,1
2022-03-17,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,11.0,2022.0,2022 - 11,2022.11,,Male,8
2022-03-17,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,11.0,2022.0,2022 - 11,2022.11,,Female,2
2022-03-17,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,11.0,2022.0,2022 - 11,2022.11,,,7
2022-03-17,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,E. 5 - 9 year old,Female,1
2022-03-17,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,F. 10 - 14 year old,Male,1
2022-03-17,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,G. 15 - 19 year old,Male,1
2022-03-17,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Male,2
2022-03-17,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Female,2
2022-03-17,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Male,3
2022-03-17,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Female,4
2022-03-17,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Male,2
2022-03-18,BALI,KAB. BULELENG,BANJAR,BANJAR I,Diare Akut,A,11.0,2022.0,2022 - 11,2022.11,,,1
2022-03-18,BALI,KAB. BULELENG,BANJAR,BANJAR I,ILI (Penyakit Serupa Influenza),Y,11.0,2022.0,2022 - 11,2022.11,,,2
2022-03-18,BALI,KAB. BULELENG,BANJAR,BANJAR I,None,None,11.0,2022.0,2022 - 11,2022.11,,,36
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,ILI (Penyakit Serupa Influenza),Y,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Female,2
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,B. 8 - 28 day old,Male,2
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,B. 8 - 28 day old,Female,2
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,D. 1 - 4 year old,Male,1
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,E. 5 - 9 year old,Male,4
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,E. 5 - 9 year old,Female,2
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,F. 10 - 14 year old,Male,3
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,F. 10 - 14 year old,Female,2
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,G. 15 - 19 year old,Male,6
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,G. 15 - 19 year old,Female,7
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Male,27
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Female,52
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Male,28
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Female,33
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Male,62
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Female,43
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Male,26
2022-03-18,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Female,18
2022-03-18,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,ILI (Penyakit Serupa Influenza),Y,11.0,2022.0,2022 - 11,2022.11,,,1
2022-03-18,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Pnemonia,D,11.0,2022.0,2022 - 11,2022.11,,Male,1
2022-03-18,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Pnemonia,D,11.0,2022.0,2022 - 11,2022.11,,Female,1
2022-03-18,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Suspek Dengue,C,11.0,2022.0,2022 - 11,2022.11,,Male,1
2022-03-18,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,Suspek Tetanus,W,11.0,2022.0,2022 - 11,2022.11,,,1
2022-03-18,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,11.0,2022.0,2022 - 11,2022.11,,Male,23
2022-03-18,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,11.0,2022.0,2022 - 11,2022.11,,Female,22
2022-03-18,BALI,KAB. BULELENG,BULELENG,RSUD BULELENG,None,None,11.0,2022.0,2022 - 11,2022.11,,,21
2022-03-18,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,E. 5 - 9 year old,Female,1
2022-03-18,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Male,1
2022-03-18,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,I. 45 - 54 year old,Male,2
2022-03-18,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Male,5
2022-03-18,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,J. 55 - 69 year old,Female,4
2022-03-18,BALI,KAB. BULELENG,SAWAN,SAWAN I,None,None,11.0,2022.0,2022 - 11,2022.11,K. > 70 year old,Female,1
2022-03-19,BALI,KAB. BULELENG,BANJAR,BANJAR I,Diare Akut,A,11.0,2022.0,2022 - 11,2022.11,,,1
2022-03-19,BALI,KAB. BULELENG,BANJAR,BANJAR I,ILI (Penyakit Serupa Influenza),Y,11.0,2022.0,2022 - 11,2022.11,,,3
2022-03-19,BALI,KAB. BULELENG,BANJAR,BANJAR I,None,None,11.0,2022.0,2022 - 11,2022.11,,,40
2022-03-19,BALI,KAB. BULELENG,BULELENG,RS KERTHA USADA,Acute Flacid Paralysis (AFP),N,11.0,2022.0,2022 - 11,2022.11,H. 20 - 44 year old,Female,1
